,,0
Total.N,E.S,0.2224108025473916
Total.N,N,0.23741541585023934
Weight,numVol,0.24773316862723818
N,HE.G,0.26126347476276757
N,Total.HE,0.26216991119499167
Bpmin,BMI,0.26771058985868756
Frec,Bpmax,0.2706624888978448
Bpmax,BMI,0.27186265636266205
N.S,E.S,0.2882659236768612
Frec,Bpmin,0.3031307770019342
Bpmin,CVRI,0.3619884670789125
Fat,BMI,0.4061250915890834
Bpmax,CVRI,0.40885220389520704
Bpmin,Weight,0.41041780827442986
Bpmax,Weight,0.41370506135289686
HE.G,E,0.5611750804495215
Total.HE,E,0.5611752014271011
CVRI,BMI,0.5780276086454029
N.G,E,0.6232725929217104
BMI,Weight,0.6262894406298564
Total.N,E,0.6294048482157575
CVRI,Weight,0.6379209758251563
N.GG,N.G,0.6561240446796512
Total.N,N.GG,0.6677093540006221
N.G,Total.HE,0.6895369982156777
N.G,HE.G,0.6896208959750331
Total.N,Total.HE,0.6905092852200426
Total.N,HE.G,0.6905656294897089
N.GG,E,0.7024651438458202
N.GG,Total.HE,0.7195361251180349
N.GG,HE.G,0.7198750156780714
Bpmax,Bpmin,0.8112723346929602
HE.GG,HE,0.8983000549558038
Total.N,N.G,0.9934548567563233
Total.E,EG.1,0.9999905665530171
Total.HE,HE.G,0.9999955326489898
