,,0
Bpmax,Total.TFA,0.07934194535229631
VA.GS,CA.S,0.07935700746429317
TFA.S,DHPAA.SS,0.08005326895412718
Bpmax,VA.SS,0.08058618700069099
CVRI,CA.S,0.08131024508163523
VA.SS,CA.S,0.0824038614173264
VA.GS,CA.G,0.08365262294172074
DHPAA.SS,CA.S,0.08389576148018742
Weight,Total.VA,0.08557418110558986
VA,numVol,0.08714156023928303
CVRI,DHPAA.SS,0.08838220818502983
Weight,DHPAA.G,0.09192285036193375
VA.S,numVol,0.09394997477694796
VA.SS,DHPAA.SS,0.09435032083949442
VA.GS,DHPAA.SS,0.09455711865617829
Total.CA,numVol,0.09535303470172579
VA.GS,TFA.G,0.0961342950338396
Total.VA,TFA.G,0.0965236901781186
CA.S,numVol,0.0966634813999453
CA,numVol,0.09710733292907588
DHPAA,CA.S,0.09741969269291574
CVRI,DHPAA.G,0.09929140420365734
VA.GG,Total.TFA,0.10130814953390317
Weight,VA.S,0.10165352440981426
Bpmax,VA.GS,0.10260681354143114
Total.TFA,Total.DHPAA,0.10489171528922453
VA.GG,TFA.S,0.10582937206940414
VA.S,DHPAA.GS,0.10603535729730171
BMI,Total.TFA,0.10614013730541344
BMI,DHPAA.G,0.10616234261444236
TFA.S,Total.DHPAA,0.10697014596190435
VA.GS,VA.S,0.10895623087664073
Total.VA,CA.G,0.10935559039098224
BMI,TFA.S,0.1121293132633337
Total.DHPAA,CA.G,0.1128883316074431
CA.S,CA.G,0.1145404393389261
CA.S,CA,0.11522030576633259
DHPAA,Total.CA,0.11835236350331488
VA.GG,DHPAA.SS,0.11922448146829634
VA.S,TFA.G,0.12087868480735492
DHPAA.GG,CA.G,0.12198965204771418
Total.VA,DHPAA.SS,0.12402076283390312
DHPAA.SS,DHPAA.GG,0.1250986650759701
DHPAA,numVol,0.12521414610614143
VA.SS,TFA.G,0.12642954885600233
Total.DHPAA,DHPAA.SS,0.12671387174239143
Total.VA,TFA.S,0.12689385542352022
TFA.G,CA,0.12696541976810427
Total.TFA,numVol,0.12770204147199285
DHPAA.GS,CA.G,0.12849885990192983
VA.GS,Total.DHPAA,0.12862915947926828
DHPAA.G,CA.G,0.12907257303021902
VA.SS,DHPAA,0.12912298698135316
VA.GS,DHPAA.GS,0.12930976162990387
DHPAA,CA,0.12993883405976825
VA.SS,VA.S,0.1300364215922958
Total.VA,Total.TFA,0.13020968311482486
TFA.S,numVol,0.13253537053885545
Weight,VA.SS,0.1328076996966568
DHPAA.SS,numVol,0.13420609385278595
TFA.S,CA,0.13433471271855463
DHPAA.GS,CA,0.135342625621195
TFA.S,CA.G,0.13591502177585654
VA.SS,Total.CA,0.13769641899425522
Total.TFA,CA,0.14234568982096998
Bpmin,VA.GS,0.1437264348054398
DHPAA.SS,Total.CA,0.14378753735257122
VA.S,CA.S,0.14437839697169982
DHPAA.SS,CA.G,0.14810809428051006
DHPAA.GS,numVol,0.14811380263379328
Total.TFA,CA.G,0.1496148934568425
VA.GS,DHPAA.GG,0.1510733483101366
VA.SS,VA.GS,0.15220397490121096
VA,TFA.S,0.15238945826751735
VA.S,CA.G,0.15277914536063378
Bpmin,VA.SS,0.15354489889492537
DHPAA.GS,DHPAA,0.15418691025322737
VA.S,VA,0.15435210364367222
VA.SS,DHPAA.GS,0.155125714635834
DHPAA.GG,CA.S,0.1562870224545586
TFA.G,CA.G,0.159377192383407
VA.S,TFA.S,0.16143872052820496
VA.S,VA.GG,0.16253351858427884
VA.S,DHPAA.G,0.16267104455041173
Weight,Total.TFA,0.16298051403423847
VA.S,Total.TFA,0.16527867368223176
VA,Total.TFA,0.1675107763397235
CVRI,numVol,0.1699220828876706
VA,CA.G,0.17015935546459238
VA.SS,DHPAA.G,0.17127811118896916
VA.GG,CA.S,0.17133267210590492
DHPAA.GG,CA,0.1738096492097846
VA.GS,DHPAA.G,0.17385808448039133
VA.SS,numVol,0.1740454012898474
TFA.G,DHPAA.G,0.17465359033691738
Weight,TFA.S,0.17536706359390625
CA.G,CA,0.17540619457179835
VA.GS,Total.CA,0.17613549072128554
VA,TFA.G,0.17735130175451835
Total.DHPAA,CA.S,0.17812577655678954
Weight,VA.GS,0.1895980080347045
DHPAA.GS,CA.S,0.18993239282231367
BMI,numVol,0.18997867137550478
VA.S,DHPAA,0.19112744370507673
VA.GG,Total.CA,0.1914950038725888
VA,DHPAA,0.1924387524198525
DHPAA.G,CA.S,0.193645282127728
BMI,VA.GS,0.19684419779900592
VA,DHPAA.GG,0.20083216147955896
Total.VA,CA.S,0.2049029114476503
VA.GG,CA,0.2075246908828115
DHPAA.GS,Total.CA,0.20931044604091958
Total.DHPAA,CA,0.20933672516825808
DHPAA.GG,Total.CA,0.20957784940240076
VA.GS,numVol,0.21245060509894914
Bpmin,BMI,0.2129890919062757
VA.S,CA,0.2138558091127849
VA.GS,VA.GG,0.21386062072307574
VA.GG,DHPAA,0.2144748177277606
Bpmax,BMI,0.2166574944423558
VA.SS,Total.DHPAA,0.21706299204217844
VA.GS,VA,0.22050034897985624
VA.SS,VA,0.22156022119699348
Weight,numVol,0.2219642402677438
VA.GS,CA,0.2225485454985593
VA.SS,DHPAA.GG,0.2245139903538389
DHPAA.GG,numVol,0.22484375396328232
Total.DHPAA,Total.CA,0.22853671724916405
Frec,Bpmax,0.2325600305659027
VA,CA.S,0.23354056640094986
Total.DHPAA,numVol,0.23642308434406417
CVRI,Total.TFA,0.23779896767422126
VA.S,Total.CA,0.24423981810441084
VA.SS,CA,0.2455683220956756
Total.VA,DHPAA,0.24889580011056087
DHPAA.G,CA,0.24990287567250122
CVRI,TFA.S,0.2524051915070839
DHPAA.G,DHPAA,0.2539105686676846
DHPAA.G,Total.CA,0.25732475301501073
VA.SS,VA.GG,0.2582301264187359
VA,DHPAA.GS,0.2601681903441263
VA.GG,numVol,0.26019462693681217
TFA.G,Total.CA,0.2617892509783696
DHPAA.GG,DHPAA,0.2660127161129747
VA.S,Total.DHPAA,0.26739486661029827
Total.VA,Total.CA,0.2686464138476733
TFA.S,DHPAA.G,0.27386122104889943
DHPAA.GS,DHPAA.G,0.27461542280280227
DHPAA.G,numVol,0.2747322178593961
Total.TFA,DHPAA.G,0.2748876418962225
VA.S,DHPAA.GG,0.2835848668289743
TFA.S,Total.CA,0.28545520417847425
Frec,Bpmin,0.2856931758865495
Total.VA,numVol,0.2869714669380653
VA,Total.DHPAA,0.2906136234804064
TFA.G,CA.S,0.29781166302137
Total.TFA,Total.CA,0.30097881857826764
Total.VA,CA,0.3048441361331458
DHPAA.GS,DHPAA.GG,0.32324189536948633
Bpmin,CVRI,0.3275361947274306
Total.VA,VA.S,0.3286422054592453
VA,DHPAA.G,0.33826198959018816
Total.DHPAA,DHPAA.GS,0.34032862719360335
VA.GG,DHPAA.GS,0.3504382990518254
VA,Total.CA,0.36483525149944923
Total.VA,DHPAA.GS,0.3690160673837315
Bpmax,CVRI,0.370728420585246
DHPAA.GG,DHPAA.G,0.37929355592550634
Total.VA,VA.GS,0.38886568537648875
Fat,BMI,0.39516762693078766
Bpmin,Weight,0.39758174305700505
VA.GG,DHPAA.G,0.3990577568465102
VA,CA,0.40262720491364945
Bpmax,Weight,0.41043550117484656
VA.GG,Total.DHPAA,0.41807185887867127
Total.VA,VA.SS,0.4267912775841891
Total.VA,DHPAA.G,0.43041284859050793
TFA.S,CA.S,0.4374611986949413
VA.GG,VA,0.4381024369536441
Total.TFA,CA.S,0.4424488559937072
Total.CA,CA.S,0.4434082996875106
Total.VA,Total.DHPAA,0.46120517056386356
VA.GG,DHPAA.GG,0.48171177919711133
CVRI,BMI,0.510482214801538
Total.VA,DHPAA.GG,0.5125490912998962
Total.DHPAA,DHPAA.G,0.5174042428305715
Total.VA,VA,0.5244846978585223
TFA.S,TFA.G,0.5550121676884558
Total.CA,CA,0.5716332844161618
BMI,Weight,0.5854364156455576
CVRI,Weight,0.5997795250054986
Total.DHPAA,DHPAA.GG,0.6081648166198149
Total.TFA,TFA.G,0.6742484617241101
Bpmax,Bpmin,0.8158454791438348
Total.CA,CA.G,0.8443925742400722
Total.DHPAA,DHPAA,0.89981675889302
Total.VA,VA.GG,0.9535238056067294
Total.TFA,TFA.S,0.9885352609070641
