,,0
TFA.S,DHPAA.G,0.2746199356434782
Total.TFA,DHPAA.G,0.2754639544937799
Total.VA,numVol,0.2808608810831286
VA.S,DHPAA.GG,0.28159564013767174
TFA.S,Total.CA,0.28585466174933477
VA,Total.DHPAA,0.2950827912150852
TFA.G,CA.S,0.2981202104030713
Total.TFA,Total.CA,0.30128003263130604
Total.VA,CA,0.3014560890766674
DHPAA.GS,DHPAA.GG,0.3233174119899308
Total.VA,VA.S,0.3282689638877325
VA,DHPAA.G,0.3394436457789922
Total.DHPAA,DHPAA.GS,0.3405938997427518
VA.GG,DHPAA.GS,0.35065076356731717
VA,Total.CA,0.3668842640393499
Total.VA,DHPAA.GS,0.3701698750566863
DHPAA.GG,DHPAA.G,0.37983387784540973
Total.VA,VA.GS,0.39366783318431314
VA.GG,DHPAA.G,0.4005050048891368
VA,CA,0.4070085015726992
VA.GG,Total.DHPAA,0.4161149673945579
Total.VA,VA.SS,0.4271763035593489
Total.VA,DHPAA.G,0.43140962234681157
VA.GG,VA,0.43677952189131886
TFA.S,CA.S,0.4373491614428106
Total.TFA,CA.S,0.44238482987618455
Total.CA,CA.S,0.4468110202873275
Total.VA,Total.DHPAA,0.45965919541490774
VA.GG,DHPAA.GG,0.4846976964083572
Total.VA,DHPAA.GG,0.51488371155713
Total.DHPAA,DHPAA.G,0.5173226069195851
Total.VA,VA,0.5227976025049172
TFA.S,TFA.G,0.5552628781797148
Total.CA,CA,0.5707402369664478
Total.DHPAA,DHPAA.GG,0.6045065429989163
Total.TFA,TFA.G,0.6744815060212987
Total.CA,CA.G,0.8434267033527931
Total.DHPAA,DHPAA,0.8995095127675404
Total.VA,VA.GG,0.9538351044425318
Total.TFA,TFA.S,0.9885331180599476
