,,0
DHPAA,CA.S,0.14687965441399353
DHPAA.G,Total.CA,0.1474874609338796
VA.SS,TIFA.Sulfate.1,0.14808331512039288
TFA.G,Total.CA,0.14876480977433493
TIFA.Sulfate.1,DHPAA.GS,0.15109062968860515
VA,CA.G,0.15206681758316584
TFA.G,DHPAA.SS,0.1543875300454219
Total.VA,numVol,0.15612937238072516
Total.VA,CA.G,0.15675869440544535
DHPAA.GS,DHPAA,0.1584805898251908
TFA.S,DHPAA.GS,0.15868592625517933
Total.TFA,DHPAA.GS,0.15921656199895465
VA,numVol,0.16065255503933018
Total.TFA,DHPAA,0.1662197103441436
TFA.S,DHPAA,0.16636183957590409
DHPAA.G,CA,0.16827289588971495
Total.DHPAA,DHPAA.GS,0.17291419561613824
CA.GS,CA.S,0.1748570627468134
VA.GG,DHPAA.G,0.17876074044611642
DHPAA.G,numVol,0.18132235912334865
VA.GG,Total.CA,0.18320473748176933
Total.TFA,numVol,0.18816845330478513
TFA.S,numVol,0.188735669434587
Total.DHPAA,CA.G,0.1899204599911811
TFA.S,Total.CA,0.19010180424241346
VA.SS,CA.GS,0.19117237437479392
VA,CA,0.19168183454562346
Total.TFA,Total.CA,0.1920335982488602
TFA.S,CA.G,0.1927511041145248
Total.TFA,CA.G,0.19332365367107016
Total.DHPAA,CA,0.19358035599571494
Total.DHPAA,numVol,0.19407734462121534
DHPAA,CA.G,0.20080148691560257
VA,DHPAA,0.20103828290107129
Total.VA,CA,0.2011768815894708
TFA.di.sulfate.1,CA.S,0.2038864314141569
TFA.G,CA.S,0.2049749022877761
VA.GG,DHPAA.GG,0.20500394908818526
VA.GG,CA.GS,0.2082933918506761
CA.GS,CA,0.20914774335094283
VA.GG,Total.DHPAA,0.21019257466422767
DHPAA.G,CA.G,0.21083950603275245
Total.VA,VA.GG,0.2109175439373324
Total.VA,DHPAA,0.21210543164105503
DHPAA.G,CA.GS,0.21854615993454538
TFA.di.sulfate.1,CA.GS,0.2186152948103994
VA.GS,CA.S,0.22124127842673164
Total.CA,CA.GS,0.2228348388505902
TFA.S,CA.GS,0.22613339367274168
Total.TFA,CA.GS,0.22908443005825416
TFA.G,CA.GS,0.22935209447670457
Total.DHPAA,CA.GS,0.23302648515652313
VA,CA.GS,0.235118963854539
VA.GG,CA,0.2395547308242596
DHPAA.SS,DHPAA.GS,0.24154621659581488
Total.TFA,DHPAA.G,0.2422933843766117
TFA.S,DHPAA.G,0.24251558901413497
DHPAA,CA,0.25059704013337375
VA.GG,TFA.S,0.2518178934693014
Total.TFA,Total.DHPAA,0.2552471404122655
TFA.S,Total.DHPAA,0.25533577837694366
VA.GG,Total.TFA,0.2553949679818515
DHPAA.GS,CA.GS,0.25586310474660456
DHPAA.GS,CA.S,0.2595123464407917
DHPAA,Total.CA,0.26515533555553145
DHPAA,CA.GS,0.2661170157745233
Total.VA,CA.GS,0.26909420471051426
VA.SS,DHPAA.GS,0.2782438277894265
VA.GG,TFA.G,0.2812324268972714
VA.GG,DHPAA.SS,0.29331458217228606
DHPAA.G,DHPAA,0.3135143684252587
